id,codigo,valores
Cat_028_EX-11054000,EX-11054000,"Exportación Definitiva, Exportación Definitiva de Zona Franca con origen en Compras Locales, Régimen Común"
Cat_028_EX-11100000,EX-11100000,"Exportación Definitiva, Exportación Definitiva de Envíos de Socorro, Régimen Común"
Cat_028_EX-11200000,EX-11200000,"Exportación Definitiva, Exportación Definitiva de Envíos Postales, Régimen Común"
Cat_028_EX-11300000,EX-11300000,"Exportación Definitiva, Exportación Definitiva Envíos que requieren despacho urgente, Régimen Común"
Cat_028_EX-11400000,EX-11400000,"Exportación Definitiva, Exportación Definitiva Courier, Régimen Común"
Cat_028_EX-11400011,EX-11400011,"Exportación Definitiva, Exportación Definitiva Courier, Muestras Sin Valor Comercial"
Cat_028_EX-11400012,EX-11400012,"Exportación Definitiva, Exportación Definitiva Courier, Material Publicitario"
Cat_028_EX-11400017,EX-11400017,"Exportación Definitiva, Exportación Definitiva Courier, Declaración de Documentos"
Cat_028_EX-11500000,EX-11500000,"Exportación Definitiva, Exportación Definitiva Menaje de casa, Régimen Común"
Cat_028_EX-22100000,EX-22100000,"Exportación Temporal, Exportación Temporal para Perfeccionamiento Pasivo, Régimen Común"
Cat_028_EX-22200000,EX-22200000,"Exportación Temporal, Exportación Temporal con Reimportación en el mismo estado, Régimen Común"
Cat_028_EX-33050000,EX-33050000,"Re-Exportación, Reexportación Proveniente de Importación Temporal, Régimen Común"
Cat_028_EX-33051000,EX-33051000,"Re-Exportación, Reexportación Proveniente de Tiendas Libres, Régimen Común"
Cat_028_EX-33052000,EX-33052000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo, Régimen Común"
Cat_028_EX-33053000,EX-33053000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal, Régimen Común"
Cat_028_EX-33054000,EX-33054000,"Re-Exportación, Reexportación Proveniente de Régimen de Zona Franca, Régimen Común"
Cat_028_EX-33055000,EX-33055000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo con Garantía, Régimen Común"
Cat_028_EX-33056000,EX-33056000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Régimen Común"
Cat_028_EX-33056057,EX-33056057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
Cat_028_EX-33056058,EX-33056058,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
Cat_028_EX-33056072,EX-33056072,"Re-Exportación, Reexportación Proveniente de Admisión Temporal  Distribución Internacional Parque de Servicios, Decreto 738 Eléctricos e Híbridos"
Cat_028_EX-33057000,EX-33057000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal  Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Régimen Común"
Cat_028_EX-33057057,EX-33057057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
Cat_028_EX-33057058,EX-33057058,"Operaciones Internacional de Logística Parque de Servicios,  Remisión entre Usuarios Directos de Diferente Parque de Servicios"
Cat_028_EX-33058033,EX-33058033,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Centro Internacional de llamadas (Call Center)"
Cat_028_EX-33058036,EX-33058036,"Re-Exportación, Reexportación Proveniente de Admisión Temporal  Centro Servicio LSI, Reparación y Mantenimiento de Embarcaciones Marítimas LSI"
Cat_028_EX-33058037,EX-33058037,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Aeronaves LSI"
Cat_028_EX-33058043,EX-33058043,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Contenedores LSI"
Cat_028_EX-33059000,EX-33059000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Régimen Común"
Cat_028_EX-33059057,EX-33059057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
Cat_028_EX-33059058,EX-33059058,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
Cat_028_EX-33070000,EX-33070000,"Re-Exportación, Reexportación Proveniente de Depósito., Régimen Común"
Cat_028_EX-33070072,EX-33070072,"Re-Exportación, Reexportación Proveniente de Depósito., Decreto 738 Eléctricos e Híbridos"
